,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"rho[1, 126]",0.808,0.135,0.55,0.96,870,573,1.00,0.0049,0.0042
"rho[1, 127]",0.656,0.171,0.36,0.91,1482,829,1.00,0.0046,0.0027
"rho[1, 128]",0.7,0.163,0.4,0.93,1103,682,1.00,0.0052,0.0033
"rho[1, 129]",0.377,0.135,0.18,0.61,1351,868,1.00,0.0038,0.0028
"rho[1, 130]",0.304,0.148,0.11,0.57,1747,995,1.00,0.0035,0.0025
"rho[1, 131]",0.298,0.152,0.092,0.56,1641,661,1.00,0.0041,0.0038
"rho[1, 132]",0.315,0.124,0.15,0.54,1477,655,1.00,0.0037,0.0031
"rho[1, 133]",0.44,0.205,0.16,0.81,1683,730,1.00,0.0051,0.003
"rho[1, 134]",0.252,0.113,0.1,0.47,1729,674,1.00,0.0029,0.0023
"rho[1, 135]",0.724,0.152,0.45,0.94,1429,736,1.00,0.004,0.0024
"rho[1, 136]",0.574,0.147,0.33,0.81,1581,886,1.00,0.0037,0.0023
"rho[1, 137]",0.69,0.165,0.39,0.93,1226,595,1.00,0.005,0.0034
"rho[1, 138]",0.53,0.18,0.27,0.84,1186,643,1.01,0.0055,0.0032
"rho[1, 139]",0.63,0.179,0.34,0.91,1754,846,1.00,0.0044,0.0024
"rho[1, 140]",0.256,0.105,0.11,0.44,2608,729,1.00,0.0025,0.0021
"rho[1, 141]",0.63,0.19,0.32,0.9,1324,793,1.00,0.0054,0.0029
"rho[1, 142]",0.732,0.14,0.46,0.92,1044,743,1.00,0.0044,0.0037
"rho[1, 143]",0.69,0.179,0.38,0.94,1017,742,1.00,0.0056,0.0034
"rho[1, 144]",0.331,0.111,0.17,0.51,1190,664,1.01,0.0033,0.0023
"rho[1, 145]",0.81,0.148,0.51,0.97,919,849,1.00,0.005,0.0043
"rho[1, 146]",0.617,0.165,0.35,0.86,1389,879,1.00,0.0045,0.0026
"rho[1, 147]",0.68,0.176,0.38,0.93,1253,719,1.00,0.0051,0.003
"rho[1, 148]",0.702,0.158,0.43,0.93,1730,761,1.00,0.0038,0.0023
"rho[1, 149]",0.666,0.166,0.39,0.92,1362,838,1.00,0.0044,0.0024
"rho[1, 150]",0.714,0.148,0.45,0.93,1362,774,1.00,0.0039,0.0025
"rho[1, 151]",0.63,0.202,0.28,0.91,1197,908,1.00,0.006,0.0031
"rho[1, 152]",0.75,0.186,0.4,0.96,824,665,1.00,0.0062,0.0041
